code,codeName,category,creator,creatorName,version,current,date,outputName,file,inputRom,inputCrc32,add1,add1Title,add2,add2Title,add3,add3Title,add4,add4Title,url,urlTitle,note,noteType
ecwhpm,ECW House Party Mixtape,hack,gmspectre,G.M.Spectre,SK Edition v1.1,TRUE,20250309,ECW House Party Mixtape - SK Edition (USA) (v1.1),20250309_ecwhpm_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20250309_ecwhpm_readme.txt,Readme,,,,,,,https://www.youtube.com/watch?v=HScGPOlVFg0,ECW House Party preview - Game Intro,,
vpw2rr,Virtual Pro Wrestling 2 - Royal Road,hack,rey,rey,Beta 3,,20250328,Virtual Pro Wrestling 2 - Royal Road (Japan) (Beta 3),20250328_vpw2rr_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250328_vpw2rr_readme.txt,Readme,,,,,,,https://github.com/mostdaysarebaddays/vpw2,Project GitHub,,
vpw2rr,Virtual Pro Wrestling 2 - Royal Road,hack,rey,rey,RC1,,20250412,Virtual Pro Wrestling 2 - Royal Road (Japan) (RC1),20250412_vpw2rr_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250412_vpw2rr_readme.txt,Readme,,,,,,,https://github.com/mostdaysarebaddays/vpw2,Project GitHub,,
vpw2rr,Virtual Pro Wrestling 2 - Royal Road,hack,rey,rey,RC2,,20250418,Virtual Pro Wrestling 2 - Royal Road (Japan) (RC2),20250418_vpw2rr_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250418_vpw2rr_readme.txt,Readme,,,,,,,https://github.com/mostdaysarebaddays/vpw2,Project GitHub,,
vpw2rr,Virtual Pro Wrestling 2 - Royal Road,hack,rey,rey,RC3,,20250428,Virtual Pro Wrestling 2 - Royal Road (Japan) (RC3),20250428_vpw2rr_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250428_vpw2rr_readme.txt,Readme,,,,,,,https://github.com/mostdaysarebaddays/vpw2,Project GitHub,,
wmx64,WWF Wrestlemania X 64,hack,gmspectre,G.M.Spectre,SK Edition,,20250503,WWF Wrestlemania X 64 - SK Edition (USA) (v1.0),20250503_wmx64_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20250503_wmx64_readme.txt,Readme,20250503_wmx64_updatelist.txt,Update List,,,,,https://www.youtube.com/watch?v=B7iLcAYCtfU,Wrestlemania X: SK Edition - Some entrances with something extra,,
vpw2rr,Virtual Pro Wrestling 2 - Royal Road,hack,rey,rey,Fin,TRUE,20250505,Virtual Pro Wrestling 2 - Royal Road (Japan),20250505_vpw2rr_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250505_vpw2rr_readme.txt,Readme,,,,,,,https://github.com/mostdaysarebaddays/vpw2,Project GitHub,,
wmx64,WWF Wrestlemania X 64,hack,gmspectre,G.M.Spectre,SK Edition v1.1,TRUE,20250524,WWF Wrestlemania X 64 - SK Edition (USA) (v1.1),20250524_wmx64_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20250524_wmx64_readme.txt,Readme,20250524_wmx64_updatelist.txt,Update List,,,,,https://www.youtube.com/watch?v=B7iLcAYCtfU,Wrestlemania X: SK Edition - Some entrances with something extra,,
ajpw64,All-Japan Pro Wrestling 64,hack,yeelord,Chris (aka yeelord),80% Complete Demo,,20250529,All-Japan Pro Wrestling 64 (Japan) (Demo),20250529_ajpw64_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250529_ajpw64_readme.txt,Readme,,,,,,,,,,
ajpw64,All-Japan Pro Wrestling 64,hack,yeelord,Chris (aka yeelord),Beta 2,TRUE,20250617,All-Japan Pro Wrestling 64 (Japan) (Beta 2),20250617_ajpw64_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250617_ajpw64_readme.txt,Readme,,,,,,,,,"THIS ROM HACK IS NOT FINISHED, ONLY 72 OF 98 WRESLTERS ARE FULLY COMPLETE. EXPECT CHANGES.",info
wcwsatnight,WCW Saturday Night,hack,gmspectre,G.M.Spectre,SK Edition,,20250621,WCW Saturday Night - SK Edition (USA) (v1.0),20250621_wcwsatnight_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20250621_wcwsatnight_readme.txt,Readme,20250621_wcwsatnight_updatelist.txt,Update List,,,,,https://www.youtube.com/watch?v=oYoOhNWeHgA,WCW Saturday Night: SK Edition preview - Assorted extra managers,,
wcwsatnight,WCW Saturday Night,hack,gmspectre,G.M.Spectre,SK Edition (Bugfix),TRUE,20250624,WCW Saturday Night - SK Edition (USA) (v1.1),20250624_wcwsatnight_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20250624_wcwsatnight_readme.txt,Readme,20250624_wcwsatnight_updatelist.txt,Update List,,,,,https://www.youtube.com/watch?v=oYoOhNWeHgA,WCW Saturday Night: SK Edition preview - Assorted extra managers,,
9ug,WCW vs. nWo: 9 Underground,hack,ragdas,ragdas,Release 1,TRUE,20250625,WCW vs. nWo - 9 Underground (USA),20250625_9ug_patch.xdelta,WCW vs. nWo - World Tour (USA) (Rev 1),0xA74DA07A,20250625_9ug_readme.txt,Readme,,,,,,,https://vpw.ajworld.net/9underground/,https://vpw.ajworld.net/9underground/,"While this is a ROM hack, it does <b>not</b> run on console.",warning
ulnomercy10,WWF No Mercy v1.0 [Unlocked],unlock,,,Final,TRUE,20001114,WWF No Mercy (USA) [Unlocked],20001114_ulnomercy10_patch.xdelta,WWF No Mercy (USA),0xB33F44F0,20001114_ulnomercy10_readme.txt,Readme,,,,,,,,,,
ulnomercy11,WWF No Mercy v1.1 [Unlocked],unlock,,,Final,TRUE,20001114,WWF No Mercy (USA) (Rev 1) [Unlocked],20001114_ulnomercy11_patch.xdelta,WWF No Mercy (USA) (Rev 1),0xBACEEA13,20001114_ulnomercy11_readme.txt,Readme,,,,,,,,,,
ulvpw2,Virtual Pro Wrestling 2 - Oudou Keishou [Unlocked],unlock,,,Final,TRUE,20000128,Virtual Pro Wrestling 2 - Oudou Keishou (Japan) [Unlocked],20000128_ulvpw2_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20000128_ulvpw2_readme.txt,Readme,,,,,,,,,,
ulrevenge,WCW-nWo Revenge [Unlocked],unlock,,,Final,TRUE,19981026,WCW-nWo Revenge (USA) [Unlocked],19981026_ulrevenge_patch.xdelta,WCW-nWo Revenge (USA),0x54CBAAA8,19981026_ulrevenge_readme.txt,Readme,,,,,,,,,,
ulwm2k,WWF WrestleMania 2000 [Unlocked],unlock,,,Final,TRUE,19991118,WWF WrestleMania 2000 (USA) [Unlocked],19991118_ulwm2k_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,19991118_ulwm2k_readme.txt,Readme,,,,,,,,,,
queens,Spirit of Queens,future,dweeb,Dweeb,,,,,,,,,,,,,,,,#index-future,,,
violentarts,Violent Arts,external,cirezero,Cire Zero,,,,,,,,,,,,,,,,https://www.patreon.com/TheViolentArts,,,
starrcade,WCW Starrcade,future,retrorandyprice,RetroRandyPrice,,,,,,,,,,,,,,,,https://www.patreon.com/AKI_ROMS,,,
starrcade2k,WCW Starrcade 2000,future,akistation64,AkiStation64,,,,,,,,,,,,,,,,#index-future,,,
backlash,WWF Backlash,future,retrorandyprice,RetroRandyPrice,,,,,,,,,,,,,,,,https://www.patreon.com/AKI_ROMS,,,
nomercyvpw,WWF No Mercy - Virtual Pro Wrestling ROM Hack,future,jordyad,jordyad,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=4F2au2aq--c,,,
vpw2nnt,Virtual Pro Wrestling 2 - Nihon No Tsua,future,cirezero,Cire Zero & Roninwanderer83,,,,,,,,,,,,,,,,#index-future,,,
ecwbtbw,ECW Born to be Wired,external,retrorandyprice,RetroRandyPrice,,,,,,,,,,,,,,,,https://www.patreon.com/AKI_ROMS,,,
nomercyplus,WWF No Mercy Plus v3.0,external,retrorandyprice,RetroRandyPrice,,,,,,,,,,,,,,,,https://www.patreon.com/posts/123461279,,,
pnd,PRIDE Never Die,hack,rey,rey,Beta 1,TRUE,20250904,PRIDE Never Die (Japan) (Beta 1),20250904_pnd_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20250904_pnd_readme.txt,Readme,,,,,,,https://github.com/mostdaysarebaddays/PRIDE-Never-Die,Project GitHub,,
